0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:11 +0900] "GET /movmov/pages/mypage/modal-login.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:13 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:13 +0900] "GET /movmov/pages/mypage/modal-login.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:19 +0900] "POST /movmov/pages/mypage/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:19 +0900] "GET /movmov/pages/mypage/null HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:26 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 9134
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:28 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:30 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=14 HTTP/1.1" 200 10756
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:33 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=14&qty=4&option=0 HTTP/1.1" 500 9430
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:34 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 11867
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:50 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:51 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=11 HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:54 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=11&qty=3&option=0 HTTP/1.1" 500 9430
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:55 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 11867
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:58 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 11867
0:0:0:0:0:0:0:1 - - [13/May/2025:10:28:02 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [13/May/2025:10:28:03 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 11867
0:0:0:0:0:0:0:1 - - [13/May/2025:10:29:11 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [13/May/2025:10:29:13 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=11 HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [13/May/2025:10:29:15 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=11&qty=4&option=0 HTTP/1.1" 500 9383
0:0:0:0:0:0:0:1 - - [13/May/2025:10:29:16 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 12693
0:0:0:0:0:0:0:1 - - [13/May/2025:10:29:41 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [13/May/2025:10:32:43 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=11 HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [13/May/2025:10:32:44 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=11 HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [13/May/2025:10:32:45 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=11 HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [13/May/2025:10:32:47 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=11&qty=4&option=0 HTTP/1.1" 500 9383
0:0:0:0:0:0:0:1 - - [13/May/2025:10:32:50 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 13518
0:0:0:0:0:0:0:1 - - [13/May/2025:10:32:54 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=11&qty=4&option=0 HTTP/1.1" 500 9383
0:0:0:0:0:0:0:1 - - [13/May/2025:10:32:55 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 14345
0:0:0:0:0:0:0:1 - - [13/May/2025:10:33:06 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [13/May/2025:10:33:07 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=15 HTTP/1.1" 200 10774
0:0:0:0:0:0:0:1 - - [13/May/2025:10:33:09 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=15&qty=3&option=0 HTTP/1.1" 500 9383
0:0:0:0:0:0:0:1 - - [13/May/2025:10:35:44 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=15 HTTP/1.1" 200 10774
0:0:0:0:0:0:0:1 - - [13/May/2025:10:35:45 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=15 HTTP/1.1" 200 10774
0:0:0:0:0:0:0:1 - - [13/May/2025:10:35:47 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=15&qty=4&option=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:35:47 +0900] "GET /movmov/pages/mypage/modal-login.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [13/May/2025:10:35:49 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:35:49 +0900] "GET /movmov/pages/mypage/modal-login.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [13/May/2025:10:35:57 +0900] "POST /movmov/pages/mypage/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:35:57 +0900] "GET /movmov/pages/mypage/null HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:04 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 9134
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:05 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14547
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:05 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%EB%B8%94%EC%BD%A4%EB%B3%B4.png HTTP/1.1" 200 100889
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:05 +0900] "GET /movmov/resources/images/shop/%EB%9F%AC%EB%B8%8C%EC%BD%A4%EB%B3%B4.png HTTP/1.1" 200 91807
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:05 +0900] "GET /movmov/resources/images/shop/%EC%98%A4%EC%A7%95%EC%96%B4%ED%8A%80%EA%B9%80%20%EC%84%B8%ED%8A%B8.png HTTP/1.1" 200 92960
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:05 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EB%8F%8C%EB%B9%84%EC%8B%9C%EB%84%A4%EB%A7%88%20%EC%97%90%EB%94%94%EC%85%98%20%ED%8B%B0%EC%BC%93%EB%B6%81%20%EB%8B%A8%ED%92%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:05 +0900] "GET /movmov/resources/images/shop/CGV%20%ED%8F%AC%EC%8A%A4%ED%84%B0%EB%B6%81%20%EC%86%8D%EC%A7%80(10%EB%A7%A4).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:05 +0900] "GET /movmov/resources/images/shop/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%20%EB%9E%9C%EB%8D%A4%EC%B9%B4%EB%93%9C%20%EC%BD%9C%EB%A0%89%ED%8C%85%20%EB%B6%81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:05 +0900] "GET /movmov/resources/images/shop/UP%20%EC%A0%91%EC%B0%A9%EC%8B%9D%20%ED%8F%AC%ED%86%A0%EC%95%A8%EB%B2%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:07 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=14 HTTP/1.1" 200 10756
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:09 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=14&qty=4&option=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:09 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=14 HTTP/1.1" 200 10756
0:0:0:0:0:0:0:1 - - [13/May/2025:10:36:10 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 15929
0:0:0:0:0:0:0:1 - - [13/May/2025:11:28:48 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 500 6028
0:0:0:0:0:0:0:1 - - [13/May/2025:11:28:49 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 13792
0:0:0:0:0:0:0:1 - - [13/May/2025:11:32:44 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:11:32:44 +0900] "GET /movmov/pages/mypage/modal-login.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [13/May/2025:11:32:49 +0900] "POST /movmov/pages/mypage/login.jsp HTTP/1.1" 500 15777
0:0:0:0:0:0:0:1 - - [13/May/2025:11:32:55 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [13/May/2025:11:32:56 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 500 4970
0:0:0:0:0:0:0:1 - - [13/May/2025:11:33:14 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [13/May/2025:11:33:15 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [13/May/2025:11:33:19 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 13608
0:0:0:0:0:0:0:1 - - [13/May/2025:11:33:25 +0900] "POST /movmov/pages/mypage/login-ajax.jsp HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [13/May/2025:11:33:25 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14396
